"Animal Class","year","month","count"
"Small Mammals","2018","07",107
"Small Mammals","2018","08",163
"Small Mammals","2018","09",39
"Small Mammals","2018","10",61
"Small Mammals","2018","11",83
"Small Mammals","2018","12",24
"Small Mammals","2019","01",15
"Small Mammals","2019","02",22
"Small Mammals","2019","03",43
"Small Mammals","2019","04",33
"Small Mammals","2019","05",14
"Small Mammals","2019","06",12
"Small Mammals","2019","07",20
"Small Mammals","2019","08",18
"Small Mammals","2019","09",13
"Small Mammals","2019","10",12
"Small Mammals","2019","11",14
"Small Mammals","2019","12",7
"Small Mammals","2020","01",16
"Small Mammals","2020","02",16
"Small Mammals","2020","03",15
"Small Mammals","2020","04",15
"Small Mammals","2020","05",18
"Small Mammals","2020","06",19
"Small Mammals","2020","07",20
"Small Mammals","2020","08",18
"Small Mammals","2020","09",29
"Small Mammals","2020","10",21
"Small Mammals","2020","11",11
"Small Mammals","2020","12",16
"Small Mammals","2021","01",18
"Small Mammals","2021","02",10
"Small Mammals","2021","03",13
"Small Mammals","2021","04",43
"Small Mammals","2021","05",20
"Small Mammals","2021","06",24
"Small Mammals","2021","07",28
"Small Mammals","2021","08",30
"Small Mammals","2021","09",19
"Small Mammals","2021","10",27
"Small Mammals","2021","11",19
"Small Mammals","2021","12",13
"Small Mammals","2022","01",12
"Small Mammals","2022","02",19
"Small Mammals","2022","03",21
"Small Mammals","2022","04",30
"Small Mammals","2022","05",24
"Small Mammals","2022","06",25
"Small Mammals","2022","07",27
"Small Mammals","2022","08",49
"Small Mammals","2022","09",49
"Small Mammals","2022","10",42
"Small Mammals","2022","11",21
"Small Mammals","2022","12",14
"Small Mammals","2023","01",26
"Small Mammals","2023","02",22
"Small Mammals","2023","03",40
"Small Mammals","2023","04",53
"Small Mammals","2023","05",69
"Small Mammals","2023","06",28
"Small Mammals","2023","07",34
"Small Mammals","2023","08",51
"Small Mammals","2023","09",35
"Small Mammals","2023","10",45
"Small Mammals","2023","11",27
"Small Mammals","2023","12",36
"Small Mammals","2024","01",31
"Small Mammals","2024","02",30
"Small Mammals","2024","03",32
"Small Mammals","2024","04",36
"Small Mammals","2024","05",33
"Small Mammals","2024","06",20
"Terrestrial Reptile or Amphibian","2018","07",2
"Terrestrial Reptile or Amphibian","2018","08",4
"Terrestrial Reptile or Amphibian","2018","09",3
"Terrestrial Reptile or Amphibian","2018","10",2
"Terrestrial Reptile or Amphibian","2018","11",2
"Terrestrial Reptile or Amphibian","2019","01",1
"Terrestrial Reptile or Amphibian","2019","02",1
"Terrestrial Reptile or Amphibian","2019","03",3
"Terrestrial Reptile or Amphibian","2019","04",3
"Terrestrial Reptile or Amphibian","2019","05",10
"Terrestrial Reptile or Amphibian","2019","06",6
"Terrestrial Reptile or Amphibian","2019","07",6
"Terrestrial Reptile or Amphibian","2019","08",4
"Terrestrial Reptile or Amphibian","2019","09",4
"Terrestrial Reptile or Amphibian","2019","10",5
"Terrestrial Reptile or Amphibian","2019","11",1
"Terrestrial Reptile or Amphibian","2020","03",1
"Terrestrial Reptile or Amphibian","2020","05",8
"Terrestrial Reptile or Amphibian","2020","06",17
"Terrestrial Reptile or Amphibian","2020","07",4
"Terrestrial Reptile or Amphibian","2020","08",3
"Terrestrial Reptile or Amphibian","2020","09",9
"Terrestrial Reptile or Amphibian","2020","10",3
"Terrestrial Reptile or Amphibian","2020","11",2
"Terrestrial Reptile or Amphibian","2021","03",2
"Terrestrial Reptile or Amphibian","2021","04",2
"Terrestrial Reptile or Amphibian","2021","05",13
"Terrestrial Reptile or Amphibian","2021","06",18
"Terrestrial Reptile or Amphibian","2021","07",5
"Terrestrial Reptile or Amphibian","2021","08",7
"Terrestrial Reptile or Amphibian","2021","09",2
"Terrestrial Reptile or Amphibian","2021","10",3
"Terrestrial Reptile or Amphibian","2021","12",3
"Terrestrial Reptile or Amphibian","2022","03",2
"Terrestrial Reptile or Amphibian","2022","04",5
"Terrestrial Reptile or Amphibian","2022","05",10
"Terrestrial Reptile or Amphibian","2022","06",18
"Terrestrial Reptile or Amphibian","2022","07",9
"Terrestrial Reptile or Amphibian","2022","08",9
"Terrestrial Reptile or Amphibian","2022","09",9
"Terrestrial Reptile or Amphibian","2022","10",5
"Terrestrial Reptile or Amphibian","2022","11",1
"Terrestrial Reptile or Amphibian","2022","12",1
"Terrestrial Reptile or Amphibian","2023","02",1
"Terrestrial Reptile or Amphibian","2023","03",3
"Terrestrial Reptile or Amphibian","2023","04",13
"Terrestrial Reptile or Amphibian","2023","05",17
"Terrestrial Reptile or Amphibian","2023","06",21
"Terrestrial Reptile or Amphibian","2023","07",11
"Terrestrial Reptile or Amphibian","2023","08",8
"Terrestrial Reptile or Amphibian","2023","09",6
"Terrestrial Reptile or Amphibian","2023","10",3
"Terrestrial Reptile or Amphibian","2023","11",2
"Terrestrial Reptile or Amphibian","2023","12",2
"Terrestrial Reptile or Amphibian","2024","02",2
"Terrestrial Reptile or Amphibian","2024","03",1
"Terrestrial Reptile or Amphibian","2024","04",2
"Terrestrial Reptile or Amphibian","2024","05",19
"Terrestrial Reptile or Amphibian","2024","06",18
